cnameshort,clegalform,dummy_environmental,environmentalperformancekriterien,dummy_social,Socialperformancekriterien,dummy_governance,governanceperformancekriterien,ESG in STI (in words),Calculation of ESG share of STI (%),ESG in LTI (in words),Calculation of ESG share of LTI (%),ESG component 1,ESG component 2,ESG component 3,ESG component 4,dummy_Pensionsaequivalent als Nebenleistung anstatt Versorgungsaufwand,Pensionsaequivalent als Nebenleistung anstatt Versorgungsaufwand,Comment,e_19,e_20,e_21,e_22,e_23,e_24,year
Daimler Truck,AG,1.0,ja,1.0,ja,1.0,ja,"Darüber hinaus wirken sich vom Aufsichtsrat festgelegte, auf Nachhaltigkeit ausgerichtete nicht-finanzielle Ziele (ESG) mit Zuschlägen von 0 bis zu +35%-Punkten auf den Jahresbonus des Gesamtvorstands aus. Die ESG-Leistungskriterien geben Auskunft darüber, ob und in welchem Umfang der Daimler Truck-Konzern auf ökologischer, sozialer und unternehmerischer Ebene nachhaltige Strategien umsetzt und welche Fortschritte Daimler Truck dahingehend bereits erreichen konnte.",Zuschlag von bis zu +35%-Punkten,,0,"Anzahl abgesetzter ZEV (eTrucks und eBUses, Group Sales target)",Inclusion & Diversity,Implementierung der ESG-Strategie,,0.0,nein,,,,,,,,2022
Deutsche Bank,AG,1.0,ja,1.0,ja,1.0,ja,"STI: 1) Individuelle Ziele berücksichtigen ESG-Ziele, wie etwa Weiterentwicklung einer Nachhaltigkeitsstrategie oder die Förderung von Maßnahmen zur Verbesserung der regulatorischen Sanierungsmaßnahmen. Jeder Mitglied erhält 4-7 individuelle Ziele mit unterschiedlicher Gewichtung, 2) Balanced Scorecards: 8-21 KPIs pro Mitglied, seit 2021 ESG-Themen noch stärker in B.S. einzubinden. Keine genaueren Angaben, inwiefern die einzelnen Ziele beispielsweise im Balanced Scorecards oder Jahresbezogene Prioritäten einfließen",20% der individuellen Ziele; genaue Berechnung von individuellen Balanced Scorecards und jährlichen Prioritäten nicht möglich,"Um Nachhaltigkeitsstrategie eng und konsequent mit der Vorstandsvergütung zu verknüpfen, werden strategische nachhaltige Ziele der Bank in einer ESG-Komponente zusammengeführt. Hierbei wird Umwelt unterteilt in nachhaltige Finanzierungen & Investionen und Eigener Geschäftsbetrieb, Soziales und Unternehmensführung. Die einzelnen Komponenten sind unterschiedliche gewichtet.",33.33333333333333,Weiterentwicklung der bankenweiten Strategie zu ESG & nachhaltigem Bankengeschäft,Sicherstellung der Umsetzung wesentlicher Kontrollverbesserungen im Bereich Finanzkriminalität,Unterstützung des CEO bei der Weiterentwicklung der Deutschen Bank-Kultur mit dem Schwerpunkt auf Integrität und Verhalten,"Steigerung des Geschäfts mit nachhaltigen Finanzierungen und Investitionen (außer DWS); Entwicklung eines Klima-Risikomanagements; Reduzierung gesamter Gebäudeenergiebedarf (kwh/Quadratmeter) vs YE2019; Employee Feedback Culture; Gender Diversity (VP, Director, MD); Kontrollumfeld Jahresdurchschnitt; Geldwäschebekämpfung / Kenne-deinen-Kunden Verbesserungsmaßnahmen (VB S.23)",1.0,ja,,,,,,,,2022
Deutsche Börse,AG,1.0,ja,1.0,ja,1.0,ja,Individuelle Ziele inklusive ESG-Ziele werden pro Mitglied festgelegt. Die Ausprägung an ESG-Zielen allerdings sehr gering ,1.388888888888889,"Zur weitergehenden Förderung der nachhaltigen Entwicklung der Gruppe Deutsche Börse bilden ESG- Ziele das dritte Leistungskriterium für die Performance Shares. Hierdurch unterstreicht die Deutsche Börse AG ihren Fokus auf eine ganzheitliche Wahrnehmung ihrer unternehmerischen Verantwortung und stellt den nachhaltigen Unternehmenserfolg sicher. Die ESG-Ziele werden auf der Grundlage eines Kriterienkatalogs mit den vier Kategorien „Externe Sicht“, „Mitarbeitendenzufriedenheit“, „Ausbau des ESG-Geschäfts“ und „CO2-Neutralität“ festgelegt, um die verschiedenen ESG-Aspekte widerzuspiegeln und ganzheitlich abzudecken.",25,Effektivität der Compliance Funktion sowie im Bereich Human Ressources,"Erzielung guter Ergebnisse in drei führenden unabhängigen ESG-Ratings (S&P, Sustainalytics und MSCI)",Erzielung guter Ergebnisse in der Mitarbeitendenbefragung,Jährliches Wachstum der Nettoerlöse mit ESG-Produkten/-Dienstleistungen; Erreichen und Erhalt von CO2-Neutralität; Zusätzliche Koppelung bei CO2-Neutralität: Senkung des CO2-Ausstoßes pro Arbeitsplatzes,0.0,nein,,,,,,,,2022
Deutsche Post,AG,1.0,ja,1.0,ja,1.0,ja,"Leistungskriterium E dient der Umsetzung des Ziels, alle logistikbezogenen Emissionen auf null zu reduzieren, S misst den Erfolg bei der Erreichung des Zieles Arbeitgeber erster Wahl zu werden, G incentiviert die Geschäftstätigkeiten nach ehtischen Standards und fördert dadurch die Minimierung von Geschäftsrisiken. Mit der ESG­Roadmap hat Deutsche Post DHL Group vor allem die Maßnahmen zum Klima­ und Umweltschutz ver- stärkt und auf Dekarbonisierungsmaßnahmen ausgerichtet sowie die strategischen Ansätze in den Bereichen soziale Verantwortung und Unternehmensführung konkretisiert. Im Jahr 2021 wurde turnusgemäß die Materialitätsanalyse aktualisiert. Daraus wurden sechs Themen ermittelt, auf die die Gruppe mit ihrem Geschäft einen wesentlichen Einfluss hat oder die sich umgekehrt auf das Geschäft auswirken können. Diese Themen bildeten auch die Grundlage für die Ausrichtung der ESG-­Roadmap, die im Geschäftsjahr 2022 gemeinsam mit dem Vorstand und dem Aufsichtsrat überprüft wurde: Die sechs Fokusthemen – 1. Klimaschutz mit Fokus auf die Treibhausgas(THG)­Emissionen, 2. Engagement der Beschäftigten, 3. Vielfalt und Inklusion, 4. Arbeitsschutz und Gesundheit am Arbeitsplatz, 5. Compliance und 6. Cyber­ sicherheit – wurden bestätigt.",30,,0,Maßnahmen zur absoluten CO2-Reduktion im Konzern,Mitarbeiterbefragung (EOS) - Mitarbeiterengagement auf Konzernebene,Compliance-relevante Schulungen im mittleren und oberen Management,,0.0,nein,,,,,,,,2022
Deutsche Telekom,AG,1.0,ja,1.0,ja,0.0,nein,"Mit dem Ziel der Reduktion des Energieverbrauchs sollen die Vorstandsmitglieder in ihrem Verhalten dahingehend incentiviert werden, dass der Energieverbrauch, der umweltbelastend wirkt, mittelfristig mindestens reduziert wird (2024 gegenüber 2020, ohne T-Mobile US). Dieses Ziel unterstützt die Durchführung von Programmen und Investitionen in Energieeinsparmaßnahmen für alle Energieträger bei gleichzeitiger Optimierung und Innovation im Hinblick auf die künftige Infrastruktur und auf den Einsatz innovativer Technologiekomponenten. Das Ziel der Reduzierung des CO2-Ausstoßes soll die Vorstandsmitglieder zu einer nachhaltigen Verankerung von Grünstrom sowie einer Verbrauchsoptimierung bei Gebäuden und der sukzessiven Umstellung der im Konzern verwendeten Fahrzeugflotte von fossilen Brennstoffen auf emissionsfreie oder -arme Antriebsformen motivieren.",33.333333333333336,"Ergänzt werden diese beiden Parameter um die Kundenzufriedenheit, die nach der weltweit anerkannten TRI*M- Methodik ermittelt wird, und die Mitarbeiterzufriedenheit, bei der der Aufsichtsrat aus seiner Sicht besonders relevante Fragen im Rahmen der unterjährig durchgeführten Puls- und Mitarbeiterbefragungen auswertet.",50,Senkung CO2-Emissionen,Senkung Energieverbrauch,Mitarbeiterzufriedenheit,Kundenzufriedenheit,,nein,,,,,,,,2022
E.ON,SE,1.0,ja,1.0,ja,1.0,ja,"Die Leistungskriterien für die Unternehmens-Performance sind mit einer Gewichtung von 80 Prozent die für E.ON maßgebliche Konzernsteuerungskennziffer EPS sowie mit einer Gewichtung von 20 Prozent eine nicht-finanzielle Kennziffer, im Geschäftsjahr 2022 der NPS",20,"E.ON Sustainability Index: Abbildung der Nachhaltigkeitsstrategie in dem am stärksten gewichteten Vergütungsbestandteil durch Fokus auf die jeweils vier relevantesten ESG-Aspekten bei E.ON. Aktuell sind dies Klimaschutz, Vielfalt & Integration, Gesundheit und Sicherheit sowie ESG Ratings",25,Reduzierung der Kohlenstoff-Emissionen (Scope 1 und 2),Steigerung des Anteils an weiblicher Führungskräfte,Reduktion der Häufigkeit schwerer Unfälle und Todesunfälle,"Stabile Ergebnisse in 3 relevanten ESG-Ratings (MSCI, Sustainalytics, ISS ESG); Net Promoter Score",,nein,,,,,,,,2022
Airbus,SE,1.0,ja,1.0,ja,0.0,nein,"Sustainability targets are measured by two criteria: the rolling lost time injury frequency rate (""FR1"") which is the monthly number of lost time injuries per million worked hours averaged over 12 months) and the reduction in CO2 emissions (“CO2e”), each weighted for 10% of the Common Collective Performance. Additionally, individual objectives consider ESG goasl as strategic building block",20,,0,Rolling lost time injury frequency rate (FR1),Reduction in CO2-emissions,"Environment, Social and Governance, and Ethics and Compliance",,,nein,,,,,,,,2022
Fresenius,SE & Co. KGaA,1.0,ja,1.0,ja,1.0,ja,"Die ESG-Ziele spiegeln das Engagement und die Strategie der Gesellschaft im Hinblick auf Umwelt-, Sozial- und Governance-Aspekten wider. Die ESG-Ziele sollen eine deutlich verbesserte ESG-Leistung mit berichteten und geprüften Messgrößen erreichen, die die Strategie von Fresenius reflektieren. Der Aufsichtsrat hat jeweils 3 ESG-Ziele für die 5 ESG-Fokusthemen Qualität, Mitarbeiter, Innovation, Compliance und Umwelt festgelegt. Für jedes der 3 ESG-Ziele kann pro Fokusthema 0 oder 1 Punkt erreicht werden, insgesamt also 5 Punkte pro ESG-Ziel. ",15,,0,Roll-out und Quartalsberichterstattung,Definition kurz- und langfristiger Ziele,Strategische Kommunikation,"Qualität, Mitarbeiter, Innovation, Compliance und Umwelt",,nein,,,,,,,,2022
Hannover Rück,SE,1.0,ja,1.0,ja,0.0,nein,"Individuelle Leistungskriterien des Geschäftsjahres 2022 (finanziell und nichtfinanziell, inklusive ESG-Ziele)",Zu-/Abschlag von bis zu 25%-Punkten,"Individuelle Leistungskriterien des Geschäftsjahres 2022 (finanziell und nichtfinanziell, inklusive ESG-Ziele)",Zu-/Abschlag von bis zu 25%-Punkten,Weiterentwicklung der HR-Nachhaltigkeitsstrategie; Implementierung Maßnahmenkatalog,Förderung der Nachhaltigkeit in den Handlungsfeldern „ESG im Versicherungsgeschäft“ und „Sustainable Protection“,Förderung der Nachhaltigkeit im Handlungsfeld „ESG im Asset-Management“,Förderung der Nachhaltigkeit in den Handlungsfeldern „ESG im Versicherungsgeschäft“ und „Sustainable Protection“ ,0.0,nein,,,,,,,,2022
Heidelberg Cement,AG,1.0,ja,1.0,ja,1.0,ja,"1) CO2-Komponente als Multiplikator, der zwischen 0,7-1,3 liegen kann. Für die Bestimmung des CO2­Multiplikators legt der Aufsichtsrat zu Beginn des jeweiligen Geschäfts­ jahres ein Ziel für die spezifischen CO2-Emissionen pro Tonne Zement fest, das aus der langfristigen CO2­ Roadmap von Heidelberg Materials und der aktuellen CO2-Performance abgeleitet ist. Für das Geschäftsjahr 2022 hat der Aufsichtsrat einen Zielwert von 586 kg CO2 pro Tonne Zement festgelegt. Die Über­ bzw. Un­ tererfüllung des Zielwerts um bis zu –2 % bzw. +2 % führt zu einer linearen Zu­ oder Abnahme der Zielerreichung. Daraus ergibt sich ein CO2-Multiplikator zwischen 1,3 (bei –2 %: Obergrenze) und 0,7 (bei +2 %: Untergrenze). 2) Individuelle Zielerreichung berücksichtigt ebenfalls ESG-Komponeten: Gewichtung zu 1/3 ",14.012345679012345,,0,Zielwert spezifischen CO2-Emissionen pro Tonne Zement,"Beschleunigung der Nachhaltigkeitstransformation (Fokus auf nachhaltige Produkte, CO2 Roadmap und Berichterstattung)","Digitales Kundenwachstum, IT-Sicherheit und Digitalisierung von Verwaltungsprozessen","Nachhaltigkeitstransparenz & Datenmanagement; Etablierung nachhaltiger Produkte (in APAC/AEM/NEECA/WSE); Arbeitssicherheit, Wassermanagement & Schutz der Biodiversität (in APAC/AEM/NEECA/WSE); Nachhaltigkeitsberichtserstattung & Verbesserung von Ratings; Aktualisierung der CO2-Roadmap und Umsetzung von Nachhaltigkeitsprojekten; IT-Sicherheit und Digitalisierung von Verwaltungsprozessen; Etablierung nachhaltiger Produkte in NAM; Arbeitssicherheit, Wassermanagement & Schutz der Biodiversität in NAM",1.0,ja,,,,,,,,2022
Henkel,AG & Co. KGaA,1.0,ja,1.0,ja,1.0,ja,"Individueller Multiplikator (0,8-1,2), welcher auch ESG-Ziele als Bemessungsgrundlage enthält. Keine genaue Zuordnung und Gewichtung der Teilziele möglich / nicht angegeben","0,8-1,2",,0,"Fortentwicklung Nachhaltigkeitsstrategie und Nachhaltigkeitsziele, bereichsübergreifende Implementierung, Digitalisierungsstrategie ","Vorantreiben der kulturellen Transformation, Fortentwicklung Top-Führungskräfte, Fortschritte Richtung Ziel Genderparität",Fortentwicklung nachhaltige Beschaffung und Finanzierung,,1.0,nein,,,,,,,,2022
Infineon,AG,1.0,ja,1.0,ja,0.0,nein,"Der STI Modifier kann Leistungen im ESG-Bereich berücksichtigen, wurde im Jahr 2022 aber nicht berücksichtigt",0,"Die ESG-Ziele für die jeweilige Tranche werden abstrakt vor Beginn des Geschäfts- jahres durch den Aufsichtsrat festgelegt. Dabei definiert der Aufsichtsrat bis zu drei ESG-Ziele, welche zu gleichen Anteilen gewichtet werden. Für die am 1. April 2022 ausgegebene LTI-Tranche hat der Aufsichtsrat zwei ESG-Ziele festgelegt, zum einen aus dem Bereich Umwelt, zum anderen aus dem Bereich Soziales.",20,Reduzierung der CO2-Äquivalente,Anteil von Frauen in Führungsposition,,,0.0,nein,,,,,,,,2022
Mercedes-Benz,AG,1.0,ja,1.0,ja,1.0,ja,"Zur Umsetzung der zukunftsorientierten Maßnahmen zur technologischen und nachhaltigen Neuausrichtung des Konzerns wurden zu Beginn des Geschäftsjahres 2022 Leistungskriterien und -kennzahlen aus den wichtigsten Zukunftsfeldern definiert. Dabei haben als integraler Bestandteil der Unternehmensstrategie Nachhaltigkeits-/ Environment-Social-Governance (ESG)-Aspekte einen expliziten Stellenwert im Rahmen des unternehmerischen Handelns der Mercedes-Benz Group AG. Inhalt der Transformationsziele: Klare Fokussierung der Cluster- / Zielkriterien auf definierte Zukunftsfelder und Nachhaltigkeits- und ESG-Aspekte als Teil der Unternehmensstrategie. nichtfinanzielle Leistungskriterien (Integrität, Kundenziele/Qualität, Mitarbeiterbindung, Vielfalt & Chancengleichheit), Zu-/Abschlag von bis zu 10%-Punkte",Zuschlag von bis zu +25%-Punkten + Zu-/Abschlag von bis zu 10%,,0,"CO2-Emissionen ""Tank-to-Wheel"" und Produktion",Anpassung der Lieferkette insb. hinsichtlich hochriskanter Materialien,Sicherheitsinnovationen,"Kundenziele (Kundenzufriedenheit, Produktqualität), Mitarbeiterziele (Bindugsgrad, Participation rate), Diversity-Ziele (Frauenanteil), Integritätsziele (Integrity Indicator)",0.0,nein,,,,,,,,2022
Merck,KGaA,1.0,ja,1.0,ja,0.0,nein,"Anpassungsfaktor für individuelle Leistung und Nachhaltigkeitsziele mit einer Spannbreite von 0,8-1,2. Gewichtung der Ziele und Konkretisierung nicht nachzuvollziehen","0,8-1,2","Neben drei finanziellen Leistungskennzahlen berücksichtigt der LTIP seit dem Geschäftsjahr 2022 auch Nachhaltigkeitsziele, die durch einen Nachhaltigkeitsfaktor verknüpft werden. Der Nachhaltigkeitsfaktor verfügt über eine Spannweite von 0,8 bis 1,2 und bewirkt, dass die aus den finanziellen Leistungskennzahlen resultierende Zielerreichung um bis zu 20 % nach oben oder unten angepasst werden kann.","0,8-1,2","Beiträge zu den Nachhaltigkeitszielen und Leistungskriterien „Human Progress“, „Schaffung nachhaltiger Wertschöpfungsketten“ und „Reduktion unseres ökologischen Fußabdrucks“ (z.B. Co2-Reduktion, Mitarbeiterzufriedenheit, Kundenzufriedenheit, Corporate Social Responsibility, Diversität)","Menschen, die mit Merck Healthcare-Produkten behandelt werden","Anteil relevanter Lieferanten (in Bezug auf Anzahl und Beschaffungs- ausgaben), die von einer gültigen Nachhaltigkeitsbewertung abgedeckt sind",Treibhausgasemissionen Scope 1+2 ,0.0,nein,,,,,,,,2022
MTU,AG,1.0,ja,1.0,ja,0.0,nein,"Nicht-finanziellen Erfolgsziele aus den Bereichen Umweltmanagement, Compliance, gesellschaftliches Engagement, Wachstum & Widerstandsfähigkeit, Produktverantwortung & -qualität, Innovation, Arbeitgeberattraktivität, Mitarbeiter & Vielfalt sowie verantwortungsvolle Beschaffung und Digitales. Der korrespondierende ESG-Multiplikator wird dann auf Basis der ESG-Zielerreichung abgeleitet und skaliert zwischen 0,8-1,2","0,8-1,2",,0,CO2-Emissionsreduzierung im Standortbetrieb,Mitarbeiterbefragung (PulsCheck) - Deutsche Standorte; Arbeitgeberattraktivität bzw. Mitarbeiter & Vielfalt,,,,nein,,,,,,,,2022
Munich RE,AG,1.0,ja,1.0,ja,1.0,ja,Würdigung der Gesamtleistung für STI & LTI mit einem Zu-/Abschlag von bis zu 10pp auf Basis von ESG-Kriterien,Zu-/Abschlag von bis zu 10%-Punkten,"1) Deshalb ist „Nachhaltigkeit“ ein integraler Bestandteil der Unternehmensstrategie. In ihrer Ambition 2025 hat Munich Re eine umfassende Dekarbonisierungsstrategie beschlossen und sich ehrgeizige Klimaziele für Kapitalanlagen, Versicherungsgeschäft und den eigenen operativen Betrieb gesetzt. Zudem wurde festgelegt, wie viele Führungspositionen unterhalb des Vorstands mit Frauen besetzt sein sollen. ESG-Themen sind aber auch im konzernweiten Verhaltenskodex, den Zeichnungsrichtlinien und anderen Richtlinien des Unternehmens fest verankert. Die Nachhaltigkeitsziele der Vorstandsmitglieder werden schwerpunktmäßig aus der Unternehmensstrategie abgeleitet und berücksichtigen mindestens eine der Dimensionen Umwelt, Soziales oder Governance. ESG-Ziele  mit der Gewichtung E(15%), S(2,5%) & G(2,5%). 2) Würdigung der Gesamtleistung für STI & LTI mit einem Zu-/Abschlag von bis zu 10pp auf Basis von ESG-Kriterien.",20 + Zu-/Abschlag von bis zu 10%-Punkten,"Reduktion des CO2-Fußabdrucks gemäß der Klimastrategie von Munich RE bei Assets, Liabilities und Eigenemissionen",Zugang zu medizinischer Versorgung & Gesundheitsmaßnahmen,Weiterbildungskosten und -tage,Krankenquote; Führungsqualität; Diversity; Einhalten von Richtlinien/Compliance-Anforderungen; Angemessene Einrichtung der Governance-Funktion; ,1.0,ja,,,,,,,,2022
Porsche,AG,0.0,nein,0.0,nein,0.0,nein,,0,,0,,,,,0.0,nein,,,,,,,,2022
Porsche Automobil Holding,SE,0.0,nein,1.0,ja,1.0,ja,"STI bildet 40% des Bonusbetrags, welcher zu 25% von ESG-Zielen bestimmt wird (individuelle Ziele)",25,LTI bildet 60% des Bonusbetrags und wird nach zwei Jahren mit der Erreichung von finanziellen Auszahlungshürden ausbezahlt. Wird aber zu 25% von ESG-Zielen im Ausgangsjahr bestimmt,25,Weiterentwicklung der Arbeitgeberattraktivität und Mitarbeiterzufriedenheit,Management-Nachfolgeplanung,"Weiterentwicklung der Organisation im Ressort ""Recht und Compliance""",Mitarbeiterentwicklung,0.0,nein,,,,,,,,2022
Qiagen,N.V.,1.0,ja,1.0,ja,1.0,ja,Team Goals are a set of annual cross-functional targets aimed at achieving QIAGEN’s strategy focused on innovation and sustainable value creation. 1 out of 4 Team Goals focus on ESG: Enhance QIAGEN's standing as a leader in ESG,3.75,,0,9% reduction in plastic material transport packaging based on 2021 baseline,Diversity goal for 35% of women in leadership roles,100% score on 2022 Human Rights Campaign Corporate Equality Index (CEI),,,nein,,,,,,,,2022
Rheinmetall,AG,1.0,ja,1.0,ja,1.0,ja,"Einfluss von ESG über nicht-finanzielle Ziele des STI, wobei alle beiden Ziele auf ESG-Kriterien beruhen",20,"Zur jährlichen Festlegung der relevanten und messbaren ESG-Ziele orientiert sich der Aufsichtsrat an einem Katalog mit im Vorfeld definierten Kriterien. Für jede Tranche können andere Kriterien bzw. Ziele aus dem Kriterienkatalog ausgewählt werden, deren Zielerreichungen während der vierjährigen Performanceperiode gemessen werden",20,Photovoltaik-Anlage und Pilotanlage zur Erzeugung von grünem Wasserstoff in Südafrika zur CO2- Reduktion,Compliance/ IKS in Ungarn,Reduktion der CO2-Emissionen in Scope 1 und 2 im Rheinmetall Konzern,"Sicherheit am Arbeitsplatz / Gesundheit: Jährliche Reduktion der ""Lost Time Incident Rate""",0.0,nein,,,,,,,,2022
RWE,AG,1.0,ja,1.0,ja,1.0,ja,"Diese sind in der kurzfristigen variablen Vergütung des Vorstands verankert. Individueller Leistungsfaktor (0,8-1,2) für individuelle (30%), kollektive Ziele (30%) sowie Leistungen auf dem Gebiet der CSR/ESG und Mitarbeitermotivation (40%). Individuell Ziele enthalten ESG-Faktoren als auch kollektive CSR-Ziele. ","(5/9*0,3+1/3*0,3+0,4)*100 = 67%  des Multiplikators von 0,8-1,2",Darüber hinaus werden Anreize für eine langfristige Wertsteigerung des RWE- Konzerns gesetzt. Die langfristige erfolgsabhängige Vergütung ist mit der finanziellen (Ertragsentwicklung und Gesamtaktionärsrendite) wie auch der nicht-finanziellen (CO2-Reduktion) Entwicklung des Konzerns verbunden und stark an der Kursentwick- lung der RWE-Aktie ausgerichtet. 1/3 Anteil CO2-Inensität des Kraftwerkportfolios,33.333333333333336,Konzernweite Einhaltung der Compliance-Standards und Verhaltenskodex,Aufrechterhaltung des hohen Arbeitssicherheitsstandards / Unfallhäufigkeit,Integration internationaler Umwelt- und Sozialstandards in der Lieferkette,"Sicherstellung eines konzernweiten Umweltmanagement; Vollständige Vermeidung von schwerwiegenden umweltrelevanten Ereignissen; Erhalt der hohen Mitarbeitermotivation; durchschnittliche CO2-Intensität je Volllaststunde über drei Jahre;  Positionierung als Treiber der Energiewende, konstruktive Begleitung der energiepolitischen Entwicklung,  Implementierung der Nachhaltigkeitsstrategie, ggf. Weiterentwicklung/Umsetzung HR-Strategie sowie Sicherstellung IT- und Cyber-Security",0.0,nein,,,,,,,,2022
SAP,SE,1.0,ja,1.0,ja,0.0,nein,"Die Nachhaltigkeits-KPIs haben eine Gesamtgewichtung von 20 %. Sie setzen sich zusammen aus dem Kunden-Net-Promoter-Score, der die Treue der SAP-Kunden misst, dem Mitarbeiterengagement- Index, der den Einsatz der Mitarbeitenden, ihren Stolz auf das Unternehmen und ihre Loyalität erfasst, und der CO2-Leistung, die die Treibhausgasemissionen der SAP angibt.",20,,0,Mitarbeiterengagement-Index,Netto-CO2-Emissionen,Kunden Net-Promoter-Score,,0.0,nein,,,,,,,,2022
Sartorius,AG Vz,1.0,ja,1.0,ja,0.0,nein,"Die kurzfristige variable Vergütung beinhaltet den Employee Net Promoter Score (ENPS), eine Messzahl für die Weiterempfehlung von Sartorius als Arbeitgeber durch die Mitarbeitenden",10,Die Einzelkomponente bezogen auf die Reduktion der CO2-Emissionsintensität hat einen Bemessungszeitraum von vier Geschäftsjahren und beginnt mit dem Geschäftsjahr der Zuteilung der betreffenden Tranche. Die Zuteilung einer neuen Tranche erfolgt rollierend für jedes Geschäftsjahr der Bestellungszeit.,25,Employee Net Promoter Score,Reduktion CO2-Emissionsintensität,,,0.0,nein,,,,,,,,2022
Siemens,AG,1.0,ja,1.0,ja,0.0,nein,"In der Dimension »Individuelle Ziele« können die finanziellen Leistungskriterien Wachstum und Liquidität
sowie weitere, nicht-finanzielle Leistungskriterien Anwendung finden. Bei den nicht-finanziellen Leistungskriterien wird die
Performance der jeweiligen Vorstandsmitglieder in Bezug auf sogenannte Fokusthemen betrachtet, die neben operativen
Aspekten der Umsetzung der Unternehmensstrategie auch Nachhaltigkeitsaspekte umfassen.
Die Ziel-Dimension »Individuelle Ziele« setzt sich aus vier gleichgewichteten individuellen Zielen zusammen... Cash Conversion Rate, Wachstum Umsatzerlöse, Fokusthemen aus den Bereichen Unternehmensstrategie und Nachhaltigkeit",2.25,Siemens-internerESG-/Nachhaltigkeitsindex mit drei gleichgewichteten Kennzahlen und jährlichen Zwischenzielen,20,"Emittierte Menge der Treibhausgase aus eigenem Geschäftsbetrieb in Tonnen CO2-Äquivalent, ohne Berücksichtigung von Klimakompensationen",Digitale Lernstunden pro Mitarbeiter,Net Promoter Score,Nachfolgeplanung,1.0,ja,,,,,,,,2022
Siemens Energy,AG,1.0,ja,1.0,ja,1.0,ja,Individuelle Ziele: Arbeitssicherheit & Kundenzufriedenheit + 2 weitere ressortspezifische Ziele,33.333333333333336,Drei gleichgewichtete Kennzahlen der ESG-Komponente werden zu Beginn der Tranche festgelegt,20,Arbeitssicherheit,Kundenzufriedenheit,"CO2-Emissionen: Direkte Treibhausgasemissionen, die aus Quellen im Eigentum oder unter der Beherrschung des Unternehmens stammen (Scope 1) und Verbrauch von eingekaufter Energie und Fernwärme (Scope 2)","Mitarbeiterengagement anhand Employee Net Promoter Score; Erhöhung des Anteils an Frauen in Führungspositionen (25% bis 2025, 30% bis 2030); Personalentwicklung",1.0,ja,,,,,,,,2022
Siemens Healthineers,AG,1.0,ja,1.0,ja,1.0,ja,"Einfluss über die individuelle Performance (33% des STI), wobei jedes Mitglied vier gleichgewichtete individuelle Ziele erhält",11.666666666666666,Nachhaltigkeitsmessung anhand von drei gleichgewichteten ESG-Kennzahlen,20,Verbesserung des Corporate-Governance-Prozesses,Etablierung einer verlässlichen Berichtserstattung für Nachhaltigkeit,Beibehaltung hoher Mitarbeiterzufriedenheit,Vorantreiben der Nachhaltigkeitsinitiative und Förderung der entsprechenden externen Kommunikation; Zugang zur Gesundheitsversorgung; Reduktion CO2e-Emissionen; Verbesserung Frauenanteil im Senior Management; Identifikation von Führungspotenzialen inkl. externer Potenziale,1.0,ja,,,,,,,,2022
Symrise,AG,1.0,ja,0.0,nein,0.0,nein,Als nichtfinanzielle Leistungskriterien kann der Aufsichtsrat ESG-Ziele oder strategische Ziele heranziehen (mit 20% gewichtet).,20,"Zu Beginn der Performance-Periode hat der Aufsichtsrat zudem messbare und quantifizierbare ESG-Ziele für den LTIP 2022 – 2025 festgelegt. Das festgelegte ESG-Ziel des LTIP 2022 – 2025 ist die Erhöhung der Öko-Effizienz der Treib- hausgas-Emissionen (Scope 1 + 2) um 6,6 % p.a.",20,"Erhöhung der Öko-Effizienz der Treib- hausgas-Emissionen (Scope 1 + 2) um 6,6 % p.a.","Steigerung der Produktausbeute durch nachhaltigere
Gestaltung der Prozesse. Verringerung des chemischen
Sauerstoffbedarfs im Abwasser um 4 % p. a.",Nachhaltige Produktentwicklung,Refinanzierung im Fremdkapitalmarkt unter relevanten Nachhaltigkeitskriterien,0.0,nein,,,,,,,,2022
Volkswagen,AG Vz,1.0,ja,1.0,ja,1.0,ja,"ESG-Faktor mit Teilzielen zu je 50% Umwelt (Dekarbonisierungsindex) und Soziales (Stimmungs- und Diversity-Index) (Multiplikator 0,7-1,3) sowie  Governance-Faktor (Multiplikator 0,9-1,1)","0,63-1,43",,0,Dekarbonisierungsindex: Emissionen von CO2 und CO2-Äquivalenten der Pkw und leichten Nutzfahrzeuge produzierenden Marken während des gesamten Lebenszykluses,Mitarbeiterzufriedenheit über Befragung,Frauenanteil im Management & Internationalisierung im Top Management,Integrität & Compliance,0.0,nein,,,,,,,,2022
Vonovia,SE,1.0,ja,1.0,ja,0.0,nein,,0,"Neben den drei finanziellen Zielen fließen zudem zu 25 % nichtfinanzielle Leistungskriterien in die Ermittlung der Auszahlung aus dem LTIP ein. Das unter dem vorherigen Vergütungssystem im Rahmen des LTI geltende Leistungs- kriterium „Kundenzufriedenheit“ wird seit dem Jahr 2021, den Anforderungen der Shareholder und Stakeholder der Vonovia SE Rechnung tragend, durch die Einführung des Sustainability Performance Index (SPI) als wesentliche Steuerungsgröße ersetzt. ",25,Customer-Satisfication-Index (CSI) (AktivBo),CO2-Intensität des Bestands,Durchschnittlichen Primärenergiebedarf der Neubauten,Barrierearme (Teil-)Modernisierungen; Zufriedenheit der Mitarbeiterinnen und Mitarbeiter; Anteil weiblicher Führungskräfte,0.0,nein,,,,,,,,2022
